section_name,section_id3,office_id,article_id,url,title,press,wdate,source_file
해외,403,277,0005676673,https://n.news.naver.com/mnews/article/277/0005676673,"트럼프 ""美, 관세로 수조 달러 벌었다""…대법 판결 앞두고 초조",아시아경제,2025-11-09 23:32,naver_news_list_20251110_s403_p1.html
해외,403,009,0005587190,https://n.news.naver.com/mnews/article/009/0005587190,반토막 난 화이자 주가 ‘비만치료제’ 덕에 불씨?…‘100억달러’ 베팅에 목표가 쑥,매일경제,2025-11-09 22:45,naver_news_list_20251110_s403_p1.html
해외,403,009,0005587185,https://n.news.naver.com/mnews/article/009/0005587185,"“손회장한테 찍히면, 기본 2배부터 시작”…반년새 90% 뛴 ‘마벨’ 어떤 회사",매일경제,2025-11-09 22:14,naver_news_list_20251110_s403_p1.html
해외,403,009,0005587020,https://n.news.naver.com/mnews/article/009/0005587020,손정의가 점찍은 '마벨'…AI 열풍 올라타고 급등,매일경제,2025-11-09 17:14,naver_news_list_20251110_s403_p1.html
해외,403,009,0005587019,https://n.news.naver.com/mnews/article/009/0005587019,비만치료제 품은 화이자 … 주가 힘 받을까,매일경제,2025-11-09 17:14,naver_news_list_20251110_s403_p1.html
해외,403,015,0005208880,https://n.news.naver.com/mnews/article/015/0005208880,"""AI 버블 시작도 안 했다…내년 본격 급등장 올 것""",한국경제,2025-11-09 17:08,naver_news_list_20251110_s403_p1.html
해외,403,009,0005587011,https://n.news.naver.com/mnews/article/009/0005587011,‘AI 거품?’ 그래도 산다…서학개미 빅테크 ‘사자’ 행진,매일경제,2025-11-09 16:59,naver_news_list_20251110_s403_p1.html
해외,403,009,0005586927,https://n.news.naver.com/mnews/article/009/0005586927,손정의도 눈독들인 ‘마벨’...AI열풍 타고 주가 급등,매일경제,2025-11-09 14:14,naver_news_list_20251110_s403_p1.html
해외,403,009,0005586925,https://n.news.naver.com/mnews/article/009/0005586925,비만치료제 품은 화이자...주가 힘 받을까,매일경제,2025-11-09 14:11,naver_news_list_20251110_s403_p1.html
해외,403,215,0001230162,https://n.news.naver.com/mnews/article/215/0001230162,AI 거품론에 '출렁'…한주 새 날아간 돈이 '헉',한국경제TV,2025-11-09 13:15,naver_news_list_20251110_s403_p1.html
해외,403,001,0015731785,https://n.news.naver.com/mnews/article/001/0015731785,"AI 거품론에…나스닥, '해방의 날' 이후 7개월 만에 최악 한주",연합뉴스,2025-11-09 12:57,naver_news_list_20251110_s403_p1.html
해외,403,018,0006159905,https://n.news.naver.com/mnews/article/018/0006159905,"美기업들, 트럼프 관세에도 4년래 최고 실적…""소비는 양극화""",이데일리,2025-11-09 11:57,naver_news_list_20251110_s403_p1.html
채권,404,277,0005676691,https://n.news.naver.com/mnews/article/277/0005676691,연말까지 대형 IPO 대기… 벤처투자 선순환 기대,아시아경제,2025-11-10 06:50,naver_news_list_20251110_s404_p1.html
채권,404,009,0005586891,https://n.news.naver.com/mnews/article/009/0005586891,“시장 보다도 덜 올라도 만족”···강남 사람들은 왜 커버드콜 ETF에 빠졌나 [매일 돈이 보이는 습관 M+],매일경제,2025-11-09 11:33,naver_news_list_20251110_s404_p1.html
채권,404,422,0000799718,https://n.news.naver.com/mnews/article/422/0000799718,4대 금융지주 건전성 역대 최악…'요주의 채권' 최대,연합뉴스TV,2025-11-09 09:37,naver_news_list_20251110_s404_p1.html
채권,404,009,0005586826,https://n.news.naver.com/mnews/article/009/0005586826,“지금은 금 살 때가 아니죠”...고수들이 추천하는 거품 없는 안전자산은,매일경제,2025-11-09 06:27,naver_news_list_20251110_s404_p1.html
채권,404,001,0015731339,https://n.news.naver.com/mnews/article/001/0015731339,'빚 수렁' 韓경제…최대이익에도 4대 금융지주 건전성 역대 최악,연합뉴스,2025-11-09 05:45,naver_news_list_20251110_s404_p1.html
채권,404,001,0015730631,https://n.news.naver.com/mnews/article/001/0015730631,"국고채 금리, 연일 연중 최고치 경신…3년물 6bp↑(종합)",연합뉴스,2025-11-07 17:37,naver_news_list_20251110_s404_p1.html
채권,404,009,0005586484,https://n.news.naver.com/mnews/article/009/0005586484,지금은 채권 비중 늘릴 때 … 주식은 국내·해외 6대4로,매일경제,2025-11-07 16:55,naver_news_list_20251110_s404_p1.html
채권,404,277,0005675968,https://n.news.naver.com/mnews/article/277/0005675968,"이준표 SBVA 대표, 韓 AI 미래 다룬 다큐 '넥스트 샘 올트먼' 진행자로 나서",아시아경제,2025-11-07 08:40,naver_news_list_20251110_s404_p1.html
채권,404,018,0006158180,https://n.news.naver.com/mnews/article/018/0006158180,美 대규모 감원에 경기 우려↑…미국채 동반 강세[채권브리핑],이데일리,2025-11-07 08:27,naver_news_list_20251110_s404_p1.html
채권,404,001,0015728825,https://n.news.naver.com/mnews/article/001/0015728825,"국고채 금리, 美 경제지표 호조에 일제히 상승(종합)",연합뉴스,2025-11-06 17:16,naver_news_list_20251110_s404_p1.html
채권,404,001,0015728693,https://n.news.naver.com/mnews/article/001/0015728693,"거래소·보험연구원, 30년 국채 선물 활성화 세미나",연합뉴스,2025-11-06 16:16,naver_news_list_20251110_s404_p1.html
채권,404,018,0006157387,https://n.news.naver.com/mnews/article/018/0006157387,"“내년 ETF 투자 어떻게?”…KB자산운용, RISE 투자 세미나 개최",이데일리,2025-11-06 10:26,naver_news_list_20251110_s404_p1.html
채권,404,018,0006157370,https://n.news.naver.com/mnews/article/018/0006157370,"TIGER 코리아AI전력기기TOP3플러스 ETF, 순자산 2000억 돌파",이데일리,2025-11-06 10:09,naver_news_list_20251110_s404_p1.html
채권,404,277,0005675358,https://n.news.naver.com/mnews/article/277/0005675358,"[인터뷰]""주요 이정표"" 韓주주행동주의, 하버드 경영대 수업서 다룬다",아시아경제,2025-11-06 10:00,naver_news_list_20251110_s404_p1.html
채권,404,018,0006157212,https://n.news.naver.com/mnews/article/018/0006157212,"신한 글로벌탄소중립솔루션 펀드, 1년 수익률 92.52% ‘1위’",이데일리,2025-11-06 08:41,naver_news_list_20251110_s404_p1.html
