name,price,change,detail_url
RISE 팔라듐선물인버스(H),"3,695",하락 -85,https://riseetf.co.kr/prod/finderDetail/4499
RISE IT플러스,"23,880",하락 -210,https://riseetf.co.kr/prod/finderDetail/4496
RISE 내수주플러스,"10,330",상승 20,https://riseetf.co.kr/prod/finderDetail/4497
RISE 대형고배당10TR,"36,050",상승 560,https://riseetf.co.kr/prod/finderDetail/4494
RISE 중국 MSCI China(H),"11,410",상승 265,https://riseetf.co.kr/prod/finderDetail/4492
RISE 게임테마,"7,825",하락 -140,https://riseetf.co.kr/prod/finderDetail/4488
RISE 코스피,"41,730",상승 255,https://riseetf.co.kr/prod/finderDetail/4489
RISE 국채선물10년,"54,620",하락 -365,https://riseetf.co.kr/prod/finderDetail/4482
RISE 국채선물10년인버스,"56,280",상승 335,https://riseetf.co.kr/prod/finderDetail/4483
RISE KRX300,"27,010",상승 195,https://riseetf.co.kr/prod/finderDetail/4481
RISE 차이나H선물인버스(H),"7,445",하락 -175,https://riseetf.co.kr/prod/finderDetail/4480
RISE 200고배당커버드콜ATM,"8,640",상승 170,https://riseetf.co.kr/prod/finderDetail/4478
RISE ESG사회책임투자,"22,160",상승 180,https://riseetf.co.kr/prod/finderDetail/4479
RISE 200금융,"17,030",상승 600,https://riseetf.co.kr/prod/finderDetail/4470
RISE 국고채3년선물인버스,"112,525",상승 195,https://riseetf.co.kr/prod/finderDetail/4467
RISE 중소형고배당,"15,155",상승 440,https://riseetf.co.kr/prod/finderDetail/4466
RISE 코스닥150선물레버리지,"13,440",하락 -30,https://riseetf.co.kr/prod/finderDetail/4465
RISE 글로벌테크놀로지(합성 H),"39,650",상승 40,https://riseetf.co.kr/prod/finderDetail/4464
RISE 코스닥150선물인버스,"2,935",-,https://riseetf.co.kr/prod/finderDetail/4463
RISE KQ고배당,"13,575",상승 275,https://riseetf.co.kr/prod/finderDetail/4462
RISE 단기국공채액티브,"114,205",하락 -5,https://riseetf.co.kr/prod/finderDetail/4460
RISE 중장기국공채액티브,"111,020",하락 -230,https://riseetf.co.kr/prod/finderDetail/4461
RISE 코스닥150,"15,510",하락 -25,https://riseetf.co.kr/prod/finderDetail/4459
RISE 미국장기국채선물(H),"8,665",하락 -95,https://riseetf.co.kr/prod/finderDetail/4455
